method,combo,n_tasks,task,nai,sar,sar_iso
base,qnli+record,2,record,0.9358369821488717,0.9097574949264526,0.980128288269043
base,qnli+sst2,2,qnli,0.9968279143536874,0.9249483346939087,0.9863623380661011
base,qnli+sst2,2,sst2,1.014344262295082,0.904328465461731,0.9752082824707031
base,qnli+sst2+record,3,qnli,0.9740285487708168,0.9018325805664062,0.9666956067085266
base,qnli+sst2+record,3,sst2,1.0102459016393444,0.8877586126327515,0.9588994979858398
base,qnli+sst2+record,3,record,0.8842202761872685,0.8939076066017151,0.9737738370895386
base,qqp+record,2,qqp,0.9286945848797451,0.9347953796386719,0.9842726588249207
base,qqp+record,2,record,0.708992926911418,0.8480005264282227,0.9607344269752502
base,qqp+sst2,2,qqp,0.8659808878108652,0.9396589398384094,0.992904007434845
base,qqp+sst2,2,sst2,0.9610655737704917,0.8544870018959045,0.9564172029495239
base,qqp+sst2+record,3,qqp,0.8642274759636459,0.9280489683151245,0.9806098937988281
base,qqp+sst2+record,3,sst2,0.9877049180327873,0.862626850605011,0.947603166103363
base,qqp+sst2+record,3,record,0.6805321657123611,0.8396731615066528,0.9572792053222656
base,sst2+record,2,sst2,1.0122950819672132,0.9061362147331238,0.9677857160568237
base,sst2+record,2,record,0.9877062984169754,0.9254535436630249,0.9873541593551636
lora,mnli+qnli,2,mnli,0.922617680826636,0.8603553771972656,0.9699265956878662
lora,mnli+qnli,2,qnli,0.9001191421763305,0.728104829788208,0.8970419764518738
lora,mnli+qnli+qqp,3,mnli,0.8061997703788749,0.834930419921875,0.9193644523620605
lora,mnli+qnli+qqp,3,qnli,0.6517077045274027,0.7241703271865845,0.8336764574050903
lora,mnli+qnli+qqp,3,qqp,0.6917173386858728,0.8276500701904297,0.9160146117210388
lora,mnli+qnli+qqp+record,4,mnli,0.6587830080367394,0.8167446255683899,0.889835000038147
lora,mnli+qnli+qqp+record,4,qnli,0.613582208101668,0.7215580344200134,0.8022345304489136
lora,mnli+qnli+qqp+record,4,qqp,0.7017533502568037,0.8047264814376831,0.8865536451339722
lora,mnli+qnli+qqp+record,4,record,0.20488418028371339,0.7560877203941345,0.874897837638855
lora,mnli+qnli+qqp+sst2,4,mnli,0.6831228473019517,0.8352069854736328,0.9112657308578491
lora,mnli+qnli+qqp+sst2,4,qnli,0.7928911834789515,0.7325266599655151,0.8260618448257446
lora,mnli+qnli+qqp+sst2,4,qqp,0.7098116771946396,0.8240985870361328,0.9086231589317322
lora,mnli+qnli+qqp+sst2,4,sst2,0.896969696969697,0.6233488321304321,0.7752851843833923
lora,mnli+qnli+qqp+sst2+record,5,mnli,0.5799081515499426,0.8090818524360657,0.8833867311477661
lora,mnli+qnli+qqp+sst2+record,5,qnli,0.7609213661636219,0.7208570241928101,0.7994626760482788
lora,mnli+qnli+qqp+sst2+record,5,qqp,0.6867583682625893,0.7998327016830444,0.8807929754257202
lora,mnli+qnli+qqp+sst2+record,5,sst2,0.8888888888888891,0.6238018870353699,0.7421166896820068
lora,mnli+qnli+qqp+sst2+record,5,record,0.2770694918297719,0.7499135732650757,0.8673293590545654
lora,mnli+qnli+record,3,mnli,0.6887485648679679,0.8649529218673706,0.9358960390090942
lora,mnli+qnli+record,3,qnli,0.846306592533757,0.738292932510376,0.8514887094497681
lora,mnli+qnli+record,3,record,0.44020470461483213,0.7993359565734863,0.9204025268554688
lora,mnli+qnli+sst2,3,mnli,0.6950631458094145,0.8569412231445312,0.9592594504356384
lora,mnli+qnli+sst2,3,qnli,0.7654884829229547,0.7415313720703125,0.8815735578536987
lora,mnli+qnli+sst2,3,sst2,0.9555555555555557,0.6151325106620789,0.8297746181488037
lora,mnli+qnli+sst2+record,4,mnli,0.5587830080367393,0.8550095558166504,0.9264540672302246
lora,mnli+qnli+sst2+record,4,qnli,0.7271644162033359,0.745872974395752,0.8408148288726807
lora,mnli+qnli+sst2+record,4,sst2,0.9454545454545459,0.6272827386856079,0.7790659666061401
lora,mnli+qnli+sst2+record,4,record,0.4286227329861735,0.7921203374862671,0.910513162612915
lora,mnli+qqp,2,mnli,0.9068886337543054,0.8448989391326904,0.9379979372024536
lora,mnli+qqp,2,qqp,0.8888659306924849,0.8421332240104675,0.9348194599151611
lora,mnli+qqp+record,3,mnli,0.6262916188289323,0.833289623260498,0.906781792640686
lora,mnli+qqp+record,3,qqp,0.8388334612432847,0.8224378228187561,0.9017504453659058
lora,mnli+qqp+record,3,record,0.34880588974681276,0.7765628695487976,0.8896592259407043
lora,mnli+qqp+sst2,3,mnli,0.8270952927669346,0.8444960117340088,0.9282755851745605
lora,mnli+qqp+sst2,3,qqp,0.884231654761202,0.8381450176239014,0.9256833791732788
lora,mnli+qqp+sst2,3,sst2,0.8424242424242425,0.6238009929656982,0.7908188104629517
lora,mnli+qqp+sst2+record,4,mnli,0.6446613088404133,0.8243751525878906,0.8984862565994263
lora,mnli+qqp+sst2+record,4,qqp,0.8373280595076451,0.8168045282363892,0.8943500518798828
lora,mnli+qqp+sst2+record,4,sst2,0.9292929292929295,0.6247245073318481,0.7470649480819702
lora,mnli+qqp+sst2+record,4,record,0.288561680732627,0.7678201198577881,0.8812186121940613
lora,mnli+record,2,mnli,0.886796785304248,0.8859006762504578,0.9617748260498047
lora,mnli+record,2,record,0.5608726880948106,0.8205373883247375,0.9415738582611084
