method,combo,n_tasks,target,best_coef,best_acc,nai
lora,mnli+qnli+sst2+record,4,boolq,0.15000000000000002,0.4651376146788991,0.18690213392200147
lora,mnli+qnli+sst2+record,4,rte,0.30000000000000004,0.6714801444043321,0.8333333333333334
lora,mnli+qnli+sst2+record,4,cola,0.25,0.6826462128475551,0.13103448275862029
lora,mnli+qqp,2,mrpc,0.5,0.6715686274509803,0.8217522658610271
lora,mnli+qqp,2,boolq,0.05,0.36666666666666664,-0.050036791758646164
lora,mnli+qqp,2,rte,0.8,0.740072202166065,0.9710144927536232
lora,mnli+qqp,2,cola,0.4,0.6788111217641419,0.10344827586206894
lora,mnli+qqp+record,3,mrpc,0.35000000000000003,0.6519607843137255,0.797583081570997
lora,mnli+qqp+record,3,boolq,0.05,0.3706422018348624,-0.0404709345106696
lora,mnli+qqp+record,3,rte,0.55,0.740072202166065,0.9710144927536232
lora,mnli+qqp+record,3,cola,0.35000000000000003,0.6644295302013423,0.0
lora,mnli+qqp+sst2,3,mrpc,0.5,0.6936274509803921,0.8489425981873112
lora,mnli+qqp+sst2,3,boolq,0.05,0.36666666666666664,-0.050036791758646164
lora,mnli+qqp+sst2,3,rte,0.6000000000000001,0.7545126353790613,1.0
lora,mnli+qqp+sst2,3,cola,0.4,0.6893576222435283,0.17931034482758573
lora,mnli+qqp+sst2+record,4,mrpc,0.45,0.6740196078431373,0.8247734138972811
lora,mnli+qqp+sst2+record,4,boolq,0.05,0.37186544342507644,-0.03752759381898462
lora,mnli+qqp+sst2+record,4,rte,0.45,0.703971119133574,0.8985507246376813
lora,mnli+qqp+sst2+record,4,cola,0.30000000000000004,0.6855225311601151,0.1517241379310344
lora,mnli+record,2,mrpc,0.75,0.7230392156862745,0.8851963746223565
lora,mnli+record,2,boolq,0.30000000000000004,0.45688073394495415,0.16703458425312737
lora,mnli+record,2,rte,0.35000000000000003,0.6064981949458483,0.7028985507246377
lora,mnli+record,2,cola,0.55,0.588686481303931,-0.5448275862068969
lora,mnli+sst2,2,mrpc,0.8,0.7058823529411765,0.8640483383685801
lora,mnli+sst2,2,boolq,0.30000000000000004,0.47155963302752296,0.2023546725533481
lora,mnli+sst2,2,rte,0.45,0.6931407942238267,0.8768115942028986
lora,mnli+sst2,2,cola,0.4,0.6855225311601151,0.1517241379310344
lora,mnli+sst2+record,3,mrpc,0.7000000000000001,0.6936274509803921,0.8489425981873112
