combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
qnli+winogrande,0.3161764705882353,0.4896024464831804,0.6823104693140795,0.4707574304889741,0.4107142857142857,0.40498588899341487,0.6685094025399099,0.8882978723404256,0.848968105065666,0.6514026402640264,0.49,0.39934711643090315
qqp+anli_r1,0.3161764705882353,0.3761467889908257,0.4729241877256318,0.6145733461169702,0.125,0.6039510818438382,0.546994812874306,0.6462765957446809,0.7185741088180112,0.6266501650165016,0.07,0.042437431991294884
qqp+hellaswag,0.3161764705882353,0.35932721712538224,0.4729241877256318,0.62607861936721,0.08928571428571429,0.6001881467544685,0.5171621612725245,0.6276595744680851,0.6238273921200751,0.6136551155115512,0.45,0.3520130576713819
qqp+imdb,0.3161764705882353,0.3290519877675841,0.4729241877256318,0.6567593480345159,0.08928571428571429,0.6039510818438382,0.5252815921178765,0.8696808510638298,0.8818011257035647,0.5447607260726073,0.27,0.16866158868335146
qqp+paws,0.3161764705882353,0.43730886850152906,0.4729241877256318,0.4899328859060403,0.08928571428571429,0.5987770460959548,0.5834064294435761,0.625,0.31613508442776733,0.6297442244224423,0.01,0.004352557127312296
qqp+record,0.3161764705882353,0.38868501529051985,0.4729241877256318,0.5743048897411314,0.08928571428571429,0.6011288805268109,0.5961863732577377,0.6675531914893617,0.7307692307692307,0.6239686468646864,0.04,0.003264417845484222
qqp+snli,0.3161764705882353,0.3837920489296636,0.740072202166065,0.5608820709491851,0.7321428571428571,0.7596425211665099,0.3334266264567178,0.7606382978723404,0.7514071294559099,0.6062293729372937,0.09,0.041893362350380846
qqp+squad_v2,0.3161764705882353,0.42568807339449544,0.4729241877256318,0.45445829338446786,0.08928571428571429,0.6006585136406397,0.5007141094170281,0.6196808510638298,0.6716697936210131,0.6371699669966997,0.06,0.002720348204570185
qqp+sst2,0.3161764705882353,0.34464831804281343,0.4729241877256318,0.62320230105465,0.08928571428571429,0.6025399811853246,0.5631472223406961,0.8776595744680851,0.8977485928705441,0.5816831683168316,0.34,0.11588683351468988
qqp+winogrande,0.3161764705882353,0.346177370030581,0.4729241877256318,0.5302013422818792,0.08928571428571429,0.599247412982126,0.5810685981468768,0.6090425531914894,0.6116322701688556,0.6202557755775577,0.28,0.11969532100108814
record+anli_r1,0.678921568627451,0.5889908256880734,0.592057761732852,0.6558005752636625,0.48214285714285715,0.7111947318908749,0.2790934773910283,0.901595744680851,0.848968105065666,0.6460396039603961,0.31,0.026115342763873776
record+hellaswag,0.6838235294117647,0.6474006116207951,0.6173285198555957,0.5474592521572388,0.42857142857142855,0.506585136406397,0.2596568989931073,0.8882978723404256,0.775797373358349,0.5662128712871287,0.42,0.2850924918389554
record+imdb,0.6715686274509803,0.5149847094801223,0.628158844765343,0.6720997123681688,0.16071428571428573,0.6138287864534336,0.2522733098052294,0.901595744680851,0.8949343339587242,0.5913778877887789,0.17,0.05767138193688792
record+paws,0.3382352941176471,0.6776758409785932,0.4693140794223827,0.0009587727708533077,0.0,0.11100658513640639,0.2658814062397509,0.02925531914893617,0.006566604127579738,0.6883250825082509,0.0,0.0
record+snli,0.35294117647058826,0.609480122324159,0.5270758122743683,0.5608820709491851,0.6607142857142857,0.7615239887111948,0.2742871922754199,0.6462765957446809,0.4549718574108818,0.6794554455445545,0.01,0.0
record+squad_v2,0.6764705882352942,0.6474006116207951,0.631768953068592,0.5599232981783318,0.39285714285714285,0.5818438381937912,0.2322236579089211,0.8829787234042553,0.800187617260788,0.5971534653465347,0.0,0.0
