method,combo,n_tasks,target,cos_mix,dot_mix,ts_cos,ts_dot,kc_cos,kc_dot
base,mnli+qqp+sst2+snli+paws+squad_v2,6,rte,0.06396185589125587,0.6788037933187329,0.02928837497541296,0.11313396555312215,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,cola,0.03317009332174263,0.542005563066774,0.017022837823644502,0.09033426051112901,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,cb,0.054210770652324686,0.33418405936061585,0.02302471249976502,0.05569734322676931,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,scitail,0.08800321254405871,2.115413818882721,0.03651569191710311,0.3525689698137868,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,stsb,0.019555589359767565,0.3181703888717941,0.009385908931616045,0.05302839814529902,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,cr,0.05592370151011304,0.6843656071737373,0.04242649838659404,0.11406093452895621,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,rotten_tomatoes,0.06340881444868189,1.0388313603547792,0.049588558195319904,0.17313856005912986,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,multirc,0.04430984856371754,1.3492701839461332,0.02673421053643833,0.2248783639910222,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,copa,0.009497298247124404,0.06608996868191855,0.005472407030168348,0.011014994780319759,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+squad_v2,6,piqa,0.014637221675412745,0.310661166549174,0.0075272059958622324,0.05177686109152899,0.03199815533688981,1.4147435659218892
base,mnli+qqp+sst2+snli+paws+hellaswag,6,mrpc,0.03985950139701355,0.42607486206358197,0.020501537265903966,0.071012477010597,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,boolq,0.030873545408787086,0.5200729347942401,0.020331249987245118,0.08667882246570668,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,rte,0.06546509354920099,0.6724088363501416,0.029970015428473232,0.11206813939169026,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,cola,0.03397160526292188,0.5372464259273493,0.017626354864628782,0.08954107098789155,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,cb,0.0561123588819043,0.3347796803046145,0.0241256866179468,0.05579661338410242,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,scitail,0.08974879642859586,2.0879777149993273,0.03632644219042641,0.34799628583322123,0.03166247904039364,1.3772723836414023
