combo,mrpc,boolq,rte,cola,cb,scitail,cr,rotten_tomatoes,multirc,copa,piqa
mnli+qqp+record+snli+paws+hellaswag,0.3161764705882353,0.4990825688073395,0.631768953068592,0.5752636625119847,0.8035714285714286,0.8358419567262465,0.7712765957446809,0.5384615384615384,0.665016501650165,0.45,0.18335146898803048
mnli+qqp+record+snli+paws+imdb,0.3161764705882353,0.4703363914373089,0.6462093862815884,0.5963566634707574,0.8571428571428571,0.8273753527751646,0.8297872340425532,0.8320825515947468,0.6507838283828383,0.41,0.1572361262241567
mnli+qqp+record+snli+paws+winogrande,0.3161764705882353,0.4944954128440367,0.6425992779783394,0.5675934803451582,0.8571428571428571,0.8363123236124177,0.7872340425531915,0.5478424015009381,0.661509900990099,0.42,0.10663764961915125
mnli+qqp+snli+anli_r1+hellaswag+winogrande,0.3161764705882353,0.3672782874617737,0.5776173285198556,0.5906040268456376,0.8392857142857143,0.825964252116651,0.7819148936170213,0.7570356472795498,0.6547029702970297,0.21,0.4662676822633297
mnli+qqp+snli+anli_r1+imdb+hellaswag,0.3161764705882353,0.21223241590214068,0.5631768953068592,0.6222435282837967,0.8214285714285714,0.8245531514581373,0.8297872340425532,0.8273921200750469,0.6138613861386139,0.19,0.46517954298150166
mnli+qqp+snli+anli_r1+imdb+winogrande,0.3161764705882353,0.23119266055045873,0.5740072202166066,0.6059443911792906,0.875,0.8203198494825964,0.824468085106383,0.8189493433395872,0.6208745874587459,0.14,0.39608269858541895
mnli+qqp+snli+anli_r1+paws+hellaswag,0.3161764705882353,0.4883792048929664,0.5812274368231047,0.585810162991371,0.8035714285714286,0.8203198494825964,0.8058510638297872,0.7626641651031895,0.6617161716171617,0.14,0.28944504896626766
mnli+qqp+snli+anli_r1+paws+imdb,0.3161764705882353,0.45198776758409787,0.5884476534296029,0.6040268456375839,0.8214285714285714,0.8273753527751646,0.8457446808510638,0.8330206378986866,0.6485148514851485,0.09,0.22633297062023938
mnli+qqp+snli+anli_r1+paws+winogrande,0.3161764705882353,0.47706422018348627,0.5848375451263538,0.5570469798657718,0.8571428571428571,0.8179680150517403,0.7978723404255319,0.7673545966228893,0.6600660066006601,0.09,0.19042437431991294
mnli+qqp+snli+imdb+hellaswag+winogrande,0.3161764705882353,0.2834862385321101,0.6245487364620939,0.6069031639501438,0.875,0.8316086547507056,0.8164893617021277,0.8208255159474672,0.6223184818481848,0.58,0.5500544069640914
mnli+qqp+snli+paws+hellaswag+winogrande,0.3161764705882353,0.4902140672782875,0.628158844765343,0.5589645254074784,0.8571428571428571,0.8363123236124177,0.7712765957446809,0.5919324577861164,0.6633663366336634,0.48,0.3868335146898803
