method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso
base,anli_r1+paws+hellaswag,3,copa,0.4,0.56,0.577777777777778,,
base,anli_r1+paws+hellaswag,3,piqa,0.4,0.5571273122959739,0.43868520859671306,,
base,anli_r1+paws+hellaswag+winogrande,4,mrpc,0.1,0.35294117647058826,0.41279069767441867,,
base,anli_r1+paws+hellaswag+winogrande,4,boolq,0.35000000000000003,0.6079510703363914,0.5003469812630117,,
base,anli_r1+paws+hellaswag+winogrande,4,rte,0.25,0.6859205776173285,0.8206896551724138,,
base,anli_r1+paws+hellaswag+winogrande,4,cola,0.35000000000000003,0.5254074784276127,-0.8285714285714286,,
base,anli_r1+paws+hellaswag+winogrande,4,cb,0.5,0.625,0.875,,
base,anli_r1+paws+hellaswag+winogrande,4,scitail,0.25,0.757761053621825,0.7862103174603174,,
base,anli_r1+paws+hellaswag+winogrande,4,cr,0.30000000000000004,0.8776595744680851,0.9222614840989398,,
base,anli_r1+paws+hellaswag+winogrande,4,rotten_tomatoes,0.25,0.8236397748592871,0.8586956521739132,,
base,anli_r1+paws+hellaswag+winogrande,4,multirc,0.25,0.718440594059406,0.6721474838066768,,
base,anli_r1+paws+hellaswag+winogrande,4,copa,0.25,0.58,0.6222222222222221,,
base,anli_r1+paws+hellaswag+winogrande,4,piqa,0.25,0.5505984766050055,0.4235145385587865,,
base,anli_r1+paws+imdb,3,mrpc,0.35000000000000003,0.46568627450980393,0.5465116279069768,,
base,anli_r1+paws+imdb,3,boolq,0.4,0.6073394495412844,0.4989590562109646,,
base,anli_r1+paws+imdb,3,rte,0.2,0.631768953068592,0.7172413793103448,,
base,anli_r1+paws+imdb,3,cola,0.25,0.6116970278044104,-0.31428571428571445,,
base,anli_r1+paws+imdb,3,cb,0.75,0.4642857142857143,0.65,,
base,anli_r1+paws+imdb,3,scitail,0.45,0.8245531514581373,0.8566468253968254,,
base,anli_r1+paws+imdb,3,cr,0.25,0.9095744680851063,0.9646643109540635,,
base,anli_r1+paws+imdb,3,rotten_tomatoes,0.30000000000000004,0.8893058161350844,0.9538043478260869,,
base,anli_r1+paws+imdb,3,multirc,0.35000000000000003,0.6990511551155115,0.6253114100647733,,
base,anli_r1+paws+imdb,3,copa,0.4,0.48,0.39999999999999997,,
base,anli_r1+paws+imdb,3,piqa,0.4,0.500544069640914,0.30720606826801516,,
base,anli_r1+paws+imdb+hellaswag,4,mrpc,0.35000000000000003,0.4387254901960784,0.5145348837209303,,
base,anli_r1+paws+imdb+hellaswag,4,boolq,0.25,0.5923547400611621,0.46495489243580845,,
base,anli_r1+paws+imdb+hellaswag,4,rte,0.2,0.6714801444043321,0.7931034482758621,,
base,anli_r1+paws+imdb+hellaswag,4,cola,0.15000000000000002,0.6251198465963567,-0.23428571428571454,,
base,anli_r1+paws+imdb+hellaswag,4,cb,0.75,0.5535714285714286,0.775,,
base,anli_r1+paws+imdb+hellaswag,4,scitail,0.30000000000000004,0.7756349952963312,0.8050595238095238,,
base,anli_r1+paws+imdb+hellaswag,4,cr,0.2,0.9095744680851063,0.9646643109540635,,
base,anli_r1+paws+imdb+hellaswag,4,rotten_tomatoes,0.30000000000000004,0.8902439024390244,0.9551630434782611,,
base,anli_r1+paws+imdb+hellaswag,4,multirc,0.25,0.6773927392739274,0.57299451918286,,
base,anli_r1+paws+imdb+hellaswag,4,copa,0.30000000000000004,0.68,0.8444444444444446,,
base,anli_r1+paws+imdb+hellaswag,4,piqa,0.30000000000000004,0.7023939064200218,0.7762326169405815,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,mrpc,0.35000000000000003,0.4852941176470588,0.5697674418604651,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,boolq,0.75,0.5795107033639144,0.4358084663428176,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,rte,0.2,0.6931407942238267,0.8344827586206897,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,cola,0.15000000000000002,0.5781399808245445,-0.5142857142857148,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,cb,0.55,0.5,0.7,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,scitail,0.2,0.7502351834430856,0.7782738095238094,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,cr,0.2,0.9175531914893617,0.9752650176678446,,
